MstLklSp,SpAbbr,PtlOtrSp,BoL,BoW,BoS,BoC,FlukeP,Blow,Contour,Wake,AfterB,Defecation,MudTrail,OtherDistu,Fluke,Flipper,HeadCalosi,Movement,Certainty2,ClassScore,Location,GCS,Lat,Long,ImageID,ImageFile,ImageDate,Satellite,NumWhale,BoxSize,SpatialRes,BoxID/ImageChip,PointID
Eubalaena australis,SRW,None,2,1,1,2,0,0,0,0,0,0,0,2,0,0,0,0,Probable,6,Auckland,GCS_WGS_1984,-50.5020636,166.2819516,1.01E+15,06AUG12231250-P2AS-052609152010_01_P001+M2AS,20060812,QB2,1,128x128pixels,0.54m,Auckland_SRW_QB2_PS_20060812_B0,Auckland_SRW_QB2_PS_20060812_P0
Eubalaena australis,SRW,None,2,1,1,2,0,0,0,0,0,0,0,2,0,0,0,0,Probable,6,Auckland,GCS_WGS_1984,-50.5042884,166.2788412,1.01E+15,06AUG12231250-P2AS-052609152010_01_P001+M2AS,20060812,QB2,1,128x128pixels,0.54m,Auckland_SRW_QB2_PS_20060812_B1,Auckland_SRW_QB2_PS_20060812_P1
Eubalaena australis,SRW,None,1,1,1,2,0,0,0,0,0,0,0,2,0,0,0,0,Possible,5,Auckland,GCS_WGS_1984,-50.5059084,166.2743484,1.01E+15,06AUG12231250-P2AS-052609152010_01_P001+M2AS,20060812,QB2,1,128x128pixels,0.54m,Auckland_SRW_QB2_PS_20060812_B2,Auckland_SRW_QB2_PS_20060812_P2
Eubalaena australis,SRW,None,1,1,1,2,0,0,0,0,0,0,0,2,0,0,0,0,Possible,5,Auckland,GCS_WGS_1984,-50.5060596,166.2911316,1.01E+15,06AUG12231250-P2AS-052609152010_01_P001+M2AS,20060812,QB2,1,128x128pixels,0.54m,Auckland_SRW_QB2_PS_20060812_B3,Auckland_SRW_QB2_PS_20060812_P3
Eubalaena australis,SRW,None,1,1,1,2,0,0,0,0,0,0,0,2,0,0,0,0,Possible,5,Auckland,GCS_WGS_1984,-50.509602,166.268754,1.01E+15,06AUG12231250-P2AS-052609152010_01_P001+M2AS,20060812,QB2,1,128x128pixels,0.54m,Auckland_SRW_QB2_PS_20060812_B4,Auckland_SRW_QB2_PS_20060812_P4
Eubalaena australis,SRW,None,2,1,1,2,0,0,0,0,0,0,0,2,0,0,0,0,Probable,6,Auckland,GCS_WGS_1984,-50.509602,166.3014564,1.01E+15,06AUG12231250-P2AS-052609152010_01_P001+M2AS,20060812,QB2,1,128x128pixels,0.54m,Auckland_SRW_QB2_PS_20060812_B5,Auckland_SRW_QB2_PS_20060812_P5
Eubalaena australis,SRW,None,2,1,1,2,0,0,0,0,0,0,0,2,0,0,0,0,Probable,6,Auckland,GCS_WGS_1984,-50.50971,166.300938,1.01E+15,06AUG12231250-P2AS-052609152010_01_P001+M2AS,20060812,QB2,1,128x128pixels,0.54m,Auckland_SRW_QB2_PS_20060812_B6,Auckland_SRW_QB2_PS_20060812_P6
Eubalaena australis,SRW,None,2,1,1,2,0,0,0,0,0,0,0,2,0,0,0,0,Probable,6,Auckland,GCS_WGS_1984,-50.511654,166.2999876,1.01E+15,06AUG12231250-P2AS-052609152010_01_P001+M2AS,20060812,QB2,1,128x128pixels,0.54m,Auckland_SRW_QB2_PS_20060812_B7,Auckland_SRW_QB2_PS_20060812_P7
Eubalaena australis,SRW,None,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,Possible,2.5,Auckland,GCS_WGS_1984,-50.5130364,166.2954516,1.01E+15,06AUG12231250-P2AS-052609152010_01_P001+M2AS,20060812,QB2,1,128x128pixels,0.54m,Auckland_SRW_QB2_PS_20060812_B8,Auckland_SRW_QB2_PS_20060812_P8
Eubalaena australis,SRW,None,1,0,2,2,0,0,0,0,0,0,0,2,0,0,0,0,Possible,5,Auckland,GCS_WGS_1984,-50.5131228,166.2651036,1.01E+15,06AUG12231250-P2AS-052609152010_01_P001+M2AS,20060812,QB2,1,128x128pixels,0.54m,Auckland_SRW_QB2_PS_20060812_B9,Auckland_SRW_QB2_PS_20060812_P9
Eubalaena australis,SRW,None,2,1,1,2,0,0,0,0,0,0,0,2,0,0,0,0,Probable,6,Auckland,GCS_WGS_1984,-50.5139004,166.2630732,1.01E+15,06AUG12231250-P2AS-052609152010_01_P001+M2AS,20060812,QB2,1,128x128pixels,0.54m,Auckland_SRW_QB2_PS_20060812_B10,Auckland_SRW_QB2_PS_20060812_P10
Eubalaena australis,SRW,None,2,1,1,2,0,0,0,0,0,0,0,2,0,0,0,0,Probable,6,Auckland,GCS_WGS_1984,-50.5142676,166.2252948,1.01E+15,06AUG12231250-P2AS-052609152010_01_P001+M2AS,20060812,QB2,1,128x128pixels,0.54m,Auckland_SRW_QB2_PS_20060812_B11,Auckland_SRW_QB2_PS_20060812_P11
Eubalaena australis,SRW,None,2,1,1,1,0,0,0,0,0,0,0,2,0,0,0,0,Possible,5.5,Auckland,GCS_WGS_1984,-50.5172268,166.25763,1.01E+15,06AUG12231250-P2AS-052609152010_01_P001+M2AS,20060812,QB2,1,128x128pixels,0.54m,Auckland_SRW_QB2_PS_20060812_B12,Auckland_SRW_QB2_PS_20060812_P12
Eubalaena australis,SRW,None,2,2,2,0,0,0,0,0,0,0,0,2,0,0,0,0,Probable,7,Auckland,GCS_WGS_1984,-50.5198836,166.3284564,1.01E+15,06AUG12231250-P2AS-052609152010_01_P001+M2AS,20060812,QB2,1,128x128pixels,0.54m,Auckland_SRW_QB2_PS_20060812_B13,Auckland_SRW_QB2_PS_20060812_P13
Eubalaena australis,SRW,None,2,2,2,1,0,0,0,0,0,0,0,2,0,0,0,0,Probable,7.5,Auckland,GCS_WGS_1984,-50.5210284,166.2476508,1.01E+15,06AUG12231250-P2AS-052609152010_01_P001+M2AS,20060812,QB2,2,128x128pixels,0.54m,Auckland_SRW_QB2_PS_20060812_B14,Auckland_SRW_QB2_PS_20060812_P14
Eubalaena australis,SRW,None,2,1,1,2,0,0,0,0,0,0,0,1,0,0,2,0,Probable,6.5,Auckland,GCS_WGS_1984,-50.5212444,166.2473052,1.01E+15,06AUG12231250-P2AS-052609152010_01_P001+M2AS,20060812,QB2,2,128x128pixels,0.54m,Auckland_SRW_QB2_PS_20060812_B15,Auckland_SRW_QB2_PS_20060812_P15
Eubalaena australis,SRW,None,2,1,1,2,0,0,0,0,0,0,0,2,0,0,0,0,Probable,6,Auckland,GCS_WGS_1984,-50.5216764,166.2393348,1.01E+15,06AUG12231250-P2AS-052609152010_01_P001+M2AS,20060812,QB2,1,128x128pixels,0.54m,Auckland_SRW_QB2_PS_20060812_B16,Auckland_SRW_QB2_PS_20060812_P16
Eubalaena australis,SRW,None,2,2,2,2,0,0,2,2,0,0,0,0,0,0,0,0,Definite,10,Auckland,GCS_WGS_1984,-50.521914,166.1970204,1.01E+15,06AUG12231250-P2AS-052609152010_01_P001+M2AS,20060812,QB2,1,128x128pixels,0.54m,Auckland_SRW_QB2_PS_20060812_B17,Auckland_SRW_QB2_PS_20060812_P17
Eubalaena australis,SRW,None,2,2,2,2,0,0,0,0,0,0,0,0,1,0,2,0,Definite,10,Auckland,GCS_WGS_1984,-50.5229076,166.2276276,1.01E+15,06AUG12231250-P2AS-052609152010_01_P001+M2AS,20060812,QB2,1,128x128pixels,0.54m,Auckland_SRW_QB2_PS_20060812_B18,Auckland_SRW_QB2_PS_20060812_P18
Eubalaena australis,SRW,None,2,2,2,1,0,0,2,0,0,0,0,2,0,0,0,0,Definite,8.5,Auckland,GCS_WGS_1984,-50.523318,166.2244308,1.01E+15,06AUG12231250-P2AS-052609152010_01_P001+M2AS,20060812,QB2,1,128x128pixels,0.54m,Auckland_SRW_QB2_PS_20060812_B19,Auckland_SRW_QB2_PS_20060812_P19
Eubalaena australis,SRW,None,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,Possible,1,Auckland,GCS_WGS_1984,-50.5241388,166.2235884,1.01E+15,06AUG12231250-P2AS-052609152010_01_P001+M2AS,20060812,QB2,1,128x128pixels,0.54m,Auckland_SRW_QB2_PS_20060812_B20,Auckland_SRW_QB2_PS_20060812_P20
